Forest,Obs_Type,PAC_Name,NOGO_Confirmed,Survey_Date,Calc_Nest_Lat_DD,Calc_Nest_Long_DD,Comments
Stanislaus,ActiveNest,Cow Crk Upper,Yes,6/8/2021,38.2433,-119.9839333,
Stanislaus,ActiveNest,SNF4,Yes,7/24/2021,38.18378333,-120.0710333,"Saw the goshawk flying, momentarily perch, and then continue flying off 170 degrees. Had something in it's claws, appeared to be prey but didn't get a good enough look to say what.

Heard begging call several hours later for several minutes, after trying "
Stanislaus,ActiveNest,Soap Crk,Yes,8/12/2021,38.2072,-120.1782667,Adult NOGO dove once at ZB and flew into the trees alarm callilng-territorial behavior. Wailing throughout the search for the nest until about 9:30. Very persisten wailing of at least 2 NOGO.
Stanislaus,ActiveNest,Campoodle Cr Lower,Yes,8/5/2021,38.28408333,-120.0445167,"Fledged Juv responded to caller at 0618 (38 17.066', -120 02.698'). The bird was llocated and identified as a juvinile. WW was found around the base of a tree and we scanned and found the nest. There were feathers poking out of the base of the nest. Aroun"
Stanislaus,ActiveNest,Tunnel Crk,Yes,6/21/2022,38.16735,-120.1279667,
Stanislaus,ActiveNest,Soap Crk,Yes,7/20/2022,38.20773333,-120.17985,"Tree with nest marked as wildlife tree. Clump of prey feathers at base. Located in same spot as IN from last year. Green boughs on nest, lots of MF on nest. No juvenile spotted, but likely juvenile feathers. Juveniles have likely fledged the nest."
Stanislaus,ActiveNest,Herring Cr,Yes,7/31/2022,38.22223333,-119.9695,"Nest: partially destroyed - failed or late enough that NOGOs fledged. Instinct is failed, not much WW or MF and no terriotrial birds."
Stanislaus,ActiveNest,Smoothwire Cr,Yes,7/28/2022,38.2648,-120.0564,Comment on original detection: Heard calls from multiple birds down slope - choir of juveniles. Comment on nest: On the side of a ravine in a failry open area.
Stanislaus,ActiveNest,Smoothwire Cr,Yes,6/1/2023,38.26383333,-120.0580833,"Split into 3 groups and combed area until the nest was seen. Two birds seen, one larger than the other - suspected female."
Stanislaus,ActiveNest,Skull Crk,Yes,6/21/2023,38.26005,-120.1179167," Follwed up with second visit to find nest. NOGOO immediately started calling once we arrived in the suspected nesting area. It flew around back and forth, trailing us to a few dummy nests."
Stanislaus,ActiveNest,NF Tuolumne,Yes,6/22/2023,38.14183333,-120.0472,Adult was detected by SPOW crew during SPOW outing. NOGO nest was found less than 70m away from SPOW nest!
Stanislaus,ActiveNest,Sheering Cr West,Yes,6/25/2023,38.17131667,-119.9906333,
Stanislaus,ActiveNest,Mt Lewis,Yes,7/29/2023,38.0382,-120.1533,Followed up with SPOW detections of NOGO adult and juvie. Nest was spotted with plenty of whitewash and prey remains in the area. Nest is located in bottom of steep canyon with big trees. Both birds were very active (flying and calling). Juvenile heard be
Plumas,ActiveNest,CL18,Yes,6/11/2019,39.92192,-121.01518,Douglas fir
Plumas,ActiveNest,CL14,Yes,6/9/2019,39.91556,-121.0701,Douglas fir
Plumas,ActiveNest,MA3,Yes,7/30/2019,40.0181,-120.58869,Douglas fir
Plumas,ActiveNest,NA,Yes,6/18/2020,40.02765,-121.08285,douglas fir (live)
Plumas,ActiveNest,NA,Yes,6/18/2020,40.01503,-121.11122,douglas fir
Plumas,ActiveNest,CL25,Yes,8/5/2020,39.8949,-120.86748,douglas fir
Plumas,ActiveNest,NA,Yes,6/3/2021,40.01572,-121.11109,fir
Plumas,ActiveNest,CL3,Yes,7/7/2021,39.87079,-121.09043,fir
Plumas,ActiveNest,CL18,Yes,7/6/2022,39.92165,-121.01548,fir/spruce
Plumas,ActiveNest,CL10,Yes,7/25/2022,39.87094,-121.00445,Fir
Plumas,ActiveNest,NA,Yes,6/3/2021,40.01572,-121.11109,
Plumas,Whitewash,CL10,Yes,7/25/2022,39.87094,-121.00445,see above
Plumas,Auditory,CL3,Yes,7/15/2022,39.91547,-120.91141,"responded, 2 birds loud wailing. Multiple calls, sounds like fledglings. (269 degrees from spot)"
Plumas,SeenAndHeard,CL3,Yes,7/15/2022,39.91611,-120.91416,"pair of birds, very displeased"
Plumas,MoltedFeather,CL19,No,7/31/2022,39.93296,-121.00535,looks like NOGO but not certain
Plumas,Auditory,CL10,Yes,7/25/2022,39.87001,-121.00438,
Plumas,ActiveNest,CL10,Yes,7/25/2022,39.87094,-121.00445,"one young bird, one unknown bird"
Plumas,PreyRemainsY,CL10,Yes,7/25/2022,39.87094,-121.00445,see above
Plumas,MoltedFeather,CL6,No,7/25/2022,39.86002,-121.07573,looks like secondary feather
Plumas,Auditory,CL9,Yes,6/18/2022,39.86871,-121.07463,
Plumas,Auditory,CL8,Yes,6/19/2022,39.86036,-121.06255,"sex unknown, bearing 239, distance 50"
Plumas,Visual,CL21,Yes,6/5/2021,39.91871,-120.95621,Flew about 50 m NE (bearing 63) away from the inactive nest towards us and then away
Plumas,InactiveNest,CL21,No,6/5/2021,39.9117,-120.95963,75 ft high in about 23 DBH tree (incense ceder) looks old.
Plumas,MoltedFeather,CL10,Yes,7/16/2022,39.87044,-121.00541,same as above
Plumas,MoltedFeather,NA,Yes,6/3/2021,40.01572,-121.11109,Right below nest
Plumas,Whitewash,NA,Yes,6/3/2021,40.01572,-121.11109,Right Below nest
Plumas,SeenAndHeard,NA,Yes,6/3/2021,40.01572,-121.11109,With other NOGO
Plumas,SeenAndHeard,NA,Yes,6/3/2021,40.01582,-121.11109,Viewing from about 41 meters away from nest
Plumas,InactiveNest,CL17,Yes,6/2/2021,39.94129,-121.04011,
Plumas,InactiveNest,02T67,Yes,8/10/2020,40.04443,-120.69944,
Plumas,InactiveNest,02T67,Yes,8/10/2020,40.04836,-120.70323,
Plumas,InactiveNest,02T67,Yes,8/10/2020,40.04431,-120.69836,"upper middle third of a douglas fir NW aspect, tree DH ~20.5"""
Plumas,InactiveNest,CL21,Yes,6/5/2021,39.91875,-120.95598,
Plumas,Whitewash,CL18,Yes,7/6/2022,39.92163,-121.01546,"lots of WW at base of nest tree and NOGO calling,"
Plumas,Auditory,CL18,Yes,7/6/2022,39.92273,-121.03,
Plumas,InactiveNest,02T67,Yes,8/10/2020,40.0438,-120.69897,"bottom of middle 3rd of tree, SE aspect."
Plumas,InactiveNest,CL14,Yes,6/21/2021,39.91561,-121.07008,
Plumas,MoltedFeather,CL3,No,6/2/2022,39.86895,-121.09569,
Plumas,MoltedFeather,CL3,No,6/2/2022,39.87124,-121.08966,
Plumas,Auditory,CL18,Yes,6/8/2022,39.92102,-121.01492,Bird was screming at me
Plumas,SeenAndHeard,CL18,Yes,6/8/2022,39.92122,-121.01494,
Plumas,Visual,CL16,Yes,6/10/2022,39.89966,-121.02094,"second perch flew off to east, lost bird after. bird was not responsive to play back, stayed silent the whole duration of it being visible"
Plumas,Auditory,CL9,Yes,6/19/2022,39.86871,-121.07463,
Plumas,Auditory,CL14,Yes,7/5/2022,39.91487,-121.04526,"called from this area before leaving, heard only.  Searched for 30 ish minuets, could not locate any sign of a nest"
Plumas,NestUnknownStatus,CL18,Yes,6/20/2021,39.92171,-121.01434,
Plumas,Visual,CL14,Yes,7/5/2022,39.91604,-121.03943,"Silently flew in at end of playback, not vocal this time."
Plumas,SeenAndHeard,CL14,Yes,6/21/2021,39.91656,-121.07021,"Perched at point 1 (so I didn't broadcast, then flew bearing 172"
Plumas,SeenAndHeard,CL26,Yes,7/10/2022,39.87221,-120.86787,"flew by after responding to playback, keked once, than never heard from it again/flew onto private land"
Plumas,Auditory,CL1,Yes,7/18/2021,39.85547,-121.13568,"relocated the bird after first hearing it, it had flown a little bit away, this point was 200m away from broadcast point where bird was orignally heard from"
Plumas,SeenAndHeard,CL3,Yes,7/7/2021,39.87018,-121.09043,"heard female wale walking down road, then found nest. White wash"
Plumas,Auditory,CL3,Yes,7/7/2021,39.86643,-121.10993,heard twice again still didn't see.  Bearing 211
Plumas,Auditory,CL3,Yes,7/7/2021,39.86781,-121.10236,"heard twice never saw.  First bearing 356 second bearing 139, never saw it fly that way though"
Plumas,SeenAndHeard,CL23,Yes,7/11/2022,39.91794,-120.91312,"at point 23, could not tell if the birds were on my side of the hill or opposite side of the hill.  Sounded like a nest with young begging and numerous wail calls."
Plumas,Whitewash,CL10,Yes,7/16/2022,39.87004,-121.00484,"found while searching for nest of pair at #32, TE behavior"
Plumas,Whitewash,CL10,Yes,7/16/2022,39.87039,-121.00535,same as above
Plumas,SeenAndHeard,CL18,Yes,6/20/2021,39.92486,-121.01296,"perched in same spot for around 15 minuets, flew off"
Plumas,Whitewash,CL18,Yes,6/20/2021,39.92153,-121.01469,
Plumas,Auditory,CL14,Yes,7/5/2022,39.91472,-121.04255,"kekked once during play back, probably same bird as heard at point 35"
Plumas,SeenAndHeard,CL18,Yes,6/8/2022,39.92102,-121.01492,Reproductive
Plumas,SeenAndHeard,CL16,Yes,6/10/2022,39.89931,-121.02144,Territorial
Plumas,SeenAndHeard,CL16,Yes,6/10/2022,39.91159,-121.01793,Unknown
Plumas,SeenAndHeard,CL9,Yes,6/18/2022,39.87003,-121.07152,Unknown
Plumas,SeenAndHeard,CL8,Yes,6/19/2022,39.85569,-121.0501,Territorial
Plumas,SeenAndHeard,CL2,Yes,6/20/2022,39.86139,-121.11162,Territorial
Plumas,SeenAndHeard,CL10,Yes,6/21/2022,39.87173,-121.00992,Reproductive
Plumas,SeenAndHeard,CL10,Yes,6/21/2022,39.86604,-120.99778,Reproductive
Plumas,SeenAndHeard,CL20,Yes,6/25/2022,39.89986,-120.96896,Unknown
Plumas,SeenAndHeard,CL6,Yes,6/29/2022,39.85219,-121.06894,Unknown
Plumas,SeenAndHeard,CL26,Yes,7/1/2022,39.93784,-120.57976,Unknown
Plumas,SeenAndHeard,CL14,Yes,7/5/2022,39.91341,-121.04567,Territorial
Plumas,SeenAndHeard,CL18,Yes,7/6/2022,39.92163,-121.01546,Reproductive
Plumas,SeenAndHeard,CL17,Yes,7/6/2022,39.9447,-121.0357,Territorial
Plumas,SeenAndHeard,CL16,Yes,7/8/2022,39.90588,-121.00585,Unknown
Plumas,SeenAndHeard,CL26,Yes,7/10/2022,39.87195,-120.86835,Unknown
Plumas,SeenAndHeard,CL23,Yes,7/11/2022,39.91794,-120.91256,Territorial Pair
Plumas,SeenAndHeard,CL23,Yes,7/15/2022,39.91764,-120.91143,Territorial Pair
Plumas,SeenAndHeard,CL10,Yes,7/16/2022,39.86888,-121.00385,Reproductive
Plumas,SeenAndHeard,CL4,Yes,7/19/2022,39.88563,-121.08501,Unknown
Plumas,SeenAndHeard,CL10,Yes,7/25/2022,39.87001,-121.00438,Reproductive
Plumas,SeenAndHeard,CL19,Yes,7/31/2022,39.93136,-120.99638,Territorial Pair
Plumas,SeenAndHeard,CL19,Yes,7/31/2022,39.91541,-121.0025,Unknown
Plumas,SeenAndHeard,,Yes,6/2/2022,39.87124,-121.08966,Territorial
Stanislaus,PreyRemainsY,Fraser Flat,Yes,6/13/2021,38.17066667,-120.0486167,"small bird, grey feathers"
