"","Service","City","Facility","State"
"1","VA Medical Center","Birmingham","Birmingham VA Medical Center","Alabama"
"2","VA Medical Center","Montgomery","Central Alabama VA Medical Center-Montgomery","Alabama"
"3","VA Medical Center","Tuscaloosa","Tuscaloosa VA Medical Center","Alabama"
"4","VA Medical Center","Tuskegee","Central Alabama VA Medical Center-Tuskegee","Alabama"
"5","Outpatient Clinic","Huntsville","Huntsville Outpatient Clinic","Alabama"
"6","Outpatient Clinic","Montgomery","Central Alabama Montgomery VA Clinic","Alabama"
"7","Community Based Outpatient Clinic","Bessemer","Bessemer VA Clinic","Alabama"
"8","Community Based Outpatient Clinic","Birmingham","Birmingham VA Clinic","Alabama"
"9","Community Based Outpatient Clinic","Birmingham","Birmingham East VA Clinic","Alabama"
"10","Community Based Outpatient Clinic","Childerburg","Childersburg VA Clinic","Alabama"
"11","Community Based Outpatient Clinic","Dothan","Dothan 1 VA Clinic","Alabama"
"12","Community Based Outpatient Clinic","Fort Novosel","Wiregrass VA Clinic","Alabama"
"13","Community Based Outpatient Clinic","Gadsen","Rainbow City VA Clinic","Alabama"
"14","Community Based Outpatient Clinic","Guntersville","Guntersville VA Clinic","Alabama"
"15","Community Based Outpatient Clinic","Jasper","Jasper VA Clinic","Alabama"
"16","Community Based Outpatient Clinic","Madison","Decatur-Madison VA Clinic","Alabama"
"17","Community Based Outpatient Clinic","Mobile","Mobile VA Clinic","Alabama"
"18","Community Based Outpatient Clinic","Monroeville","Monroe County VA Clinic","Alabama"
"19","Community Based Outpatient Clinic","Oxford","Oxford VA Clinic","Alabama"
"20","Community Based Outpatient Clinic","Selma","Selma VA Clinic","Alabama"
"21","Community Based Outpatient Clinic","Sheffield","Florence VA Clinic","Alabama"
"22","VA Medical Center","Anchorage","Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System","Alaska"
"23","Community Based Outpatient Clinic","Joint Base Elmendorf–Richardson","Elmendorf-Richardson VA Clinic","Alaska"
"24","Community Based Outpatient Clinic","Fairbanks","Fairbanks VA Clinic","Alaska"
"25","Community Based Outpatient Clinic","Homer","Homer VA Clinic","Alaska"
"26","Community Based Outpatient Clinic","Juneau","Juneau VA Clinic","Alaska"
"27","Community Based Outpatient Clinic","Wasilla","Mat-Su VA Clinic","Alaska"
"28","Community Based Outpatient Clinic","Soldotna","Soldotna VA Clinic","Alaska"
"29","VA Medical Center","Phoenix","Carl T. Hayden Veterans' Administration Medical Center","Arizona"
"30","VA Medical Center","Prescott","Bob Stump Department of Veterans Affairs Medical Center","Arizona"
"31","VA Medical Center","Tucson","Tucson VA Medical Center","Arizona"
"32","Outpatient Clinic","Gilbert","Southeast Veterans Affairs Health Care Clinic – Gilbert, Arizona","Arizona"
"33","Community Based Outpatient Clinic","Anthem","Anthem VA Clinic","Arizona"
"34","Community Based Outpatient Clinic","Casa Grande","Casa Grande VA Clinic","Arizona"
"35","Community Based Outpatient Clinic","Chinle","Chinle VA Clinic","Arizona"
"36","Community Based Outpatient Clinic","Cottonwood","Cottonwood VA Clinic","Arizona"
"37","Community Based Outpatient Clinic","Flagstaff","Flagstaff VA Clinic","Arizona"
"38","Community Based Outpatient Clinic","Globe","Globe VA Clinic","Arizona"
"39","Community Based Outpatient Clinic","Holbrook","Holbrook VA Clinic","Arizona"
"40","Community Based Outpatient Clinic","Green Valley","Green Valley VA Clinic","Arizona"
"41","Community Based Outpatient Clinic","Kayenta","Kayenta VA Clinic","Arizona"
"42","Community Based Outpatient Clinic","Kingman","Kingman VA Clinic","Arizona"
"43","Community Based Outpatient Clinic","Lake Havasu City","Lake Havasu City VA Clinic","Arizona"
"44","Community Based Outpatient Clinic","Page","Page VA Clinic","Arizona"
"45","Community Based Outpatient Clinic","Payson","Payson VA Clinic","Arizona"
"46","Community Based Outpatient Clinic","Phoenix","Phoenix Midtown VA Clinic","Arizona"
"47","Community Based Outpatient Clinic","Phoenix","Southwest VA Clinic","Arizona"
"48","Community Based Outpatient Clinic","Phoenix","Thunderbird VA Clinic","Arizona"
"49","Community Based Outpatient Clinic","Polacca","Polacca VA Clinic","Arizona"
